"store_id","prod_id","category","org_price","suggested_price","est_org_vol","est_vol","est_cost","est_org_rev","est_rev","est_prft","incre_rev","incre_prft"
348,999267196,"COFFEES AND ROASTED MIXTURES",5.79,6.95,1,1,3.7905,5.79,6.95,3.1595,1.16,1.16
588,999267196,"COFFEES AND ROASTED MIXTURES",5.79,4.63,0.103196507396361,0.88898520241126,3.7905,0.597507777824931,4.11600148716414,0.746303077424253,3.5184937093392,0.539961660885229
349,999246169,"COFFEES AND ROASTED MIXTURES",2.89,3.47,1,1,1.3205,2.89,3.47,2.1495,0.58,0.58
343,999246169,"COFFEES AND ROASTED MIXTURES",2.89,2.37,2.53407855404131,3.40637487185368,1.3205,7.3234870211794,8.07310844629323,3.57499042801044,0.749621425113832,-0.402245862557401
341,999246169,"COFFEES AND ROASTED MIXTURES",2.89,2.6,1,10.7699411504196,1.3205,2.89,28.0018469910909,13.7801397019618,25.1118469910909,12.2106397019618
345,999246169,"COFFEES AND ROASTED MIXTURES",2.89,3.47,0.900957774215137,1.28771948788911,1.3205,2.60376796748175,4.46838662297522,2.76795303921765,1.86461865549347,1.35389981258699
395,999246169,"COFFEES AND ROASTED MIXTURES",2.89,3.47,4.05729081130798,8.09834416585861,1.3205,11.7255704446801,28.1012542555294,17.4073907845131,16.3756838108493,11.0394728561652
348,999246169,"COFFEES AND ROASTED MIXTURES",2.89,3.47,4.52282169728611,6.59997767129279,1.3205,13.0709547051568,22.901922519386,14.1866520044438,9.83096781422912,7.0880833505533
342,999227098,"BEER WITH ALCOHOL",4.14,3.56,2.00000000000001,6.85547067947626,3.553,8.28000000000002,24.4054756189355,0.0479882947563333,16.1254756189354,-1.12601170524367
346,999227098,"BEER WITH ALCOHOL",4.14,4.72,2.16257655999444,1.9160926045017,3.553,8.953066958377,9.043957093248,2.23608006945348,0.0908901348710014,0.966647628736739
343,999227098,"BEER WITH ALCOHOL",8.29,9.95,13.4510600712119,14.0827285673617,3.553,111.509287990346,140.123149245249,90.0872146454127,28.6138612549025,26.3695430880822
344,999227098,"BEER WITH ALCOHOL",4.14,3.56,0.234284443290608,1.20180845137719,3.553,0.969937595223118,4.27843808690279,0.00841265915964051,3.30850049167968,-0.129112309051946
345,999227098,"BEER WITH ALCOHOL",4.14,3.97,3.82308932647431,4.06399102265114,3.553,15.8275898116036,16.134044359925,1.69468425644553,0.30645454832141,-0.549469178194888
395,999227098,"BEER WITH ALCOHOL",8.29,6.63,8.14282612171708e-12,2.81339704095608e-07,3.553,6.75040285490346e-11,1.86528223815388e-06,8.65682269502186e-07,1.86521473412533e-06,8.65643696934848e-07
348,999227098,"BEER WITH ALCOHOL",4.14,4.97,1,1,3.553,4.14,4.97,1.417,0.83,0.83
349,999249566,"BEER WITH ALCOHOL",0.99,1.19,19.8,19.8,0.9215,19.602,23.562,5.3163,3.96,3.96
346,999249566,"BEER WITH ALCOHOL",0.99,1.19,8.46248026346135,44.7077957936971,0.9215,8.37785546082674,53.2022769944996,12.0040431706077,44.8244215336728,11.4243632725606
345,999249566,"BEER WITH ALCOHOL",0.99,1.19,1,1,0.9215,0.99,1.19,0.2685,0.2,0.2
342,999340948,"COFFEES AND ROASTED MIXTURES",3.52,2.82,0.313604403022585,3.94671445764972,0.0095,1.1038874986395,11.1297347705722,11.0922409832245,10.0258472719327,9.99133272641375
349,999340948,"COFFEES AND ROASTED MIXTURES",3.52,2.82,2.68043895430879,5.636180924974,0.0095,9.43514511916695,15.8940302084267,15.8404864896394,6.45888508925974,6.43080554053843
343,999340948,"COFFEES AND ROASTED MIXTURES",3.52,4.22,9.89999999696379,9.89999999515986,0.0095,34.8479999893125,41.7779999795746,41.6839499796206,6.92999999026206,6.9299999902792
341,999340948,"COFFEES AND ROASTED MIXTURES",3.52,4.22,1.8728358742534,1.63217530473629,0.0095,6.59238227737198,6.88777978598715,6.87227412059216,0.29539750861517,0.297683784025582
345,999340948,"COFFEES AND ROASTED MIXTURES",3.52,4.22,4.28456335834298,4.47802853460347,0.0095,15.0816630213673,18.8972804160266,18.8547391449479,3.81561739465937,3.81377947548489
348,999340948,"COFFEES AND ROASTED MIXTURES",3.52,4.22,2.95241964195507,6.50044384911254,0.0095,10.3925171396819,27.4318730432549,27.3701188266883,17.039355903573,17.005649673605
346,999256219,"COFFEES AND ROASTED MIXTURES",9.89,11.87,1.66973032720361,2.19946348691848,8.5405,16.5136329360437,26.1076315897224,7.32311367969509,9.59399865367869,5.06981260313382
343,999256219,"COFFEES AND ROASTED MIXTURES",9.89,11.87,0.861644778929834,0.817540729406747,8.5405,8.52166686361606,9.70420845805808,2.72200185855976,1.18254159444202,1.55921222939395
344,999256219,"COFFEES AND ROASTED MIXTURES",9.89,11.87,2,3.92375712903786,8.5405,19.78,46.5749971216794,13.0641493611315,26.7949971216794,10.3651493611315
341,999256219,"COFFEES AND ROASTED MIXTURES",9.89,11.87,1,1,8.5405,9.89,11.87,3.3295,1.98,1.98
395,999256219,"COFFEES AND ROASTED MIXTURES",9.89,11.87,1,1,8.5405,9.89,11.87,3.3295,1.98,1.98
588,999256219,"COFFEES AND ROASTED MIXTURES",9.89,11.87,1,1,8.5405,9.89,11.87,3.3295,1.98,1.98
342,999178702,"COFFEES AND ROASTED MIXTURES",5.79,6.95,1,0.999999999999999,5.2155,5.79,6.94999999999999,1.7345,1.15999999999999,1.16
346,999178702,"COFFEES AND ROASTED MIXTURES",5.79,5.33,0.00680331298701834,2.58859656988091,5.2155,0.0393911821948362,13.7972197174652,0.296394307251367,13.7578285352704,0.292485803940325
343,999178702,"COFFEES AND ROASTED MIXTURES",5.79,6.95,2.6125421473065,4.09380852179488,5.2155,15.1266190329046,28.4519692264744,7.10071088105323,13.3253501935698,5.59980541742565
344,999178702,"COFFEES AND ROASTED MIXTURES",5.79,6.95,1,1,5.2155,5.79,6.95,1.7345,1.16,1.16
341,999178702,"COFFEES AND ROASTED MIXTURES",5.79,5.33,0.0060757113139973,2.19634694572998,5.2155,0.0351783685080444,11.7065292207408,0.251481725286084,11.6713508522327,0.247991229136192
348,999178702,"COFFEES AND ROASTED MIXTURES",5.79,6.95,1,1,5.2155,5.79,6.95,1.7345,1.16,1.16
588,999178702,"COFFEES AND ROASTED MIXTURES",5.79,6.95,1,1,5.2155,5.79,6.95,1.7345,1.16,1.16
349,999184400,"COFFEES AND ROASTED MIXTURES",11.49,13.79,1.75784632927275,2.74906321789629,9.4905,20.1976543233439,37.9095817747898,11.8195973053451,17.7119274514459,8.30478356996422
346,999184400,"COFFEES AND ROASTED MIXTURES",11.49,13.79,0.795614077140497,0.790243081278385,9.4905,9.14160574634431,10.8974520908289,3.39765012795642,1.75584634448462,1.80681978071399
343,999184400,"COFFEES AND ROASTED MIXTURES",11.49,13.79,1.41086678212842,1.67284362272901,9.4905,16.2108593266556,23.068513557433,7.19239115592338,6.85765423077745,4.37136302505759
341,999184400,"COFFEES AND ROASTED MIXTURES",11.49,9.65,2.20106109207069,2.9724005487918,9.4905,25.2901919478922,28.6836652958409,0.474097887532299,3.39347334794869,-3.92692376606304
345,999184400,"COFFEES AND ROASTED MIXTURES",11.49,10.8,1.55800167002084,1.66219507378462,9.4905,17.9014391885394,17.9517067968739,2.17664444912097,0.0502676083344937,-0.938579890085702
348,999184400,"COFFEES AND ROASTED MIXTURES",11.49,13.79,3.29870789433362,3.29999035000258,9.4905,37.9021537058933,45.5068669265356,14.1883085098361,7.60471322064237,7.59254207511604
349,999232650,"COFFEES AND ROASTED MIXTURES",5.79,5.33,0.965358108125887,2.17145789847775,5.1205,5.58942344604888,11.5738705988864,0.454920429731089,5.98444715283753,-0.191386823659192
346,999232650,"COFFEES AND ROASTED MIXTURES",5.79,6.95,1.6732131538373,1.6732131538373,5.1205,9.68790416071794,11.6288314191692,3.06114346494533,1.94092725845126,1.94092725845126
343,999232650,"COFFEES AND ROASTED MIXTURES",5.79,5.21,0.216313533657688,0.554939715107443,5.1205,1.25245535987801,2.89123591570978,0.0496671045021162,1.63878055583176,-0.0951548062817058
344,999232650,"COFFEES AND ROASTED MIXTURES",5.79,6.95,1.69266836431265,1.80903627945027,5.1205,9.80054982937025,12.5728021421794,3.30963187325428,2.77225231280915,2.17639040334696
345,999232650,"COFFEES AND ROASTED MIXTURES",5.79,6.95,0.446098700504584,3.25172369049889,5.1205,2.58291147592154,22.5994796489673,5.94902849176772,20.0165681730457,5.6503654117799
348,999232650,"COFFEES AND ROASTED MIXTURES",5.79,5.21,1.24045883203798,2.13059165848421,5.1205,7.18225663749988,11.1003825407027,0.190687953434338,3.91812590320287,-0.639799234615086
342,999251511,"COFFEES AND ROASTED MIXTURES",2.79,2.68,1.98930481058037,2.12186209272829,1.653,5.55016042151923,5.6865904085118,2.17915236923195,0.136429986992571,-0.0826872003979324
349,999251511,"COFFEES AND ROASTED MIXTURES",2.79,3.35,6.15019961341493,7.29206237235325,1.653,17.1590569214277,24.4284089473834,12.3746298458835,7.26935202595574,5.38185288543069
343,999251511,"COFFEES AND ROASTED MIXTURES",2.79,2.62,3.80199795730118,4.24282253331672,1.653,10.6075743008703,11.1161950372898,4.10280938971727,0.508620736419514,-0.220062287734174
344,999251511,"COFFEES AND ROASTED MIXTURES",2.79,2.23,0.611874675911567,5.14080556273507,1.653,1.70713034579327,11.4639964048992,2.96624480969814,9.75686605910595,2.27054330318669
341,999251511,"COFFEES AND ROASTED MIXTURES",2.79,3.35,1,0.999999999999999,1.653,2.79,3.35,1.697,0.559999999999997,0.559999999999999
395,999251511,"COFFEES AND ROASTED MIXTURES",2.79,2.57,2.37940005771422,3.16082277252071,1.653,6.63852616102268,8.12331452537823,2.89847448240149,1.48478836435555,0.193096616780422
588,999251511,"COFFEES AND ROASTED MIXTURES",2.79,3.35,0.535361456173483,5.11622287672594,1.653,1.49365846272402,17.1393466370319,8.68223022180391,15.6456881743079,8.07352424613466
346,999184401,"COFFEES AND ROASTED MIXTURES",2.69,2.31,0.211505271004132,6.45060679241142,1.634,0.568949179001114,14.9009016904704,4.36061019167012,14.3319525114693,4.13726062548975
344,999184401,"COFFEES AND ROASTED MIXTURES",2.69,2.15,0.999999999999999,3.42298494867113,1.634,2.69,7.35941763964293,1.7662602335143,4.66941763964293,0.710260233514304
